"dataset","eps","min_pts","n_clusters","n_noise","disco_dbscan","disco_kmeans"
"diagonal_blobs",0.4,3,7,28,0.360015773215127,0.75374776450004
"diagonal_blobs",0.4,5,4,50,0.567526211387257,0.704325339717876
"diagonal_blobs",0.4,7,5,62,0.388461765309129,0.6581294378935
"diagonal_blobs",0.4,10,4,117,0.464454790778303,0.599130325357533
"diagonal_blobs",0.5,3,3,18,0.765089275290625,0.75374776450004
"diagonal_blobs",0.5,5,4,22,0.637970615779198,0.704325339717876
"diagonal_blobs",0.5,7,3,33,0.676265250358058,0.6581294378935
"diagonal_blobs",0.5,10,3,55,0.61343050118533,0.599130325357533
"diagonal_blobs",0.6,3,3,13,0.768431351277304,0.75374776450004
"diagonal_blobs",0.6,5,3,14,0.72473258171596,0.704325339717876
"diagonal_blobs",0.6,7,3,16,0.682329684648683,0.6581294378935
"diagonal_blobs",0.6,10,3,31,0.630810028405735,0.599130325357533
"diagonal_blobs",0.8,3,3,9,0.759468452778487,0.75374776450004
"diagonal_blobs",0.8,5,3,11,0.721553625339912,0.704325339717876
"diagonal_blobs",0.8,7,3,12,0.680472295156375,0.6581294378935
"diagonal_blobs",0.8,10,3,14,0.624350758914508,0.599130325357533
"diagonal_blobs",1,3,3,4,0.758683387833298,0.75374776450004
"diagonal_blobs",1,5,3,7,0.71528004273618,0.704325339717876
"diagonal_blobs",1,7,3,10,0.676931828658824,0.6581294378935
"diagonal_blobs",1,10,3,11,0.620386136072273,0.599130325357533
"diagonal_blobs",1.2,3,3,3,0.75813798407004,0.75374776450004
"diagonal_blobs",1.2,5,3,5,0.71273069825886,0.704325339717876
"diagonal_blobs",1.2,7,3,6,0.668194456058924,0.6581294378935
"diagonal_blobs",1.2,10,3,6,0.610597709205363,0.599130325357533
